colour	x	y	showSelectedlegendcolour	fill
#00BF7D	28	240	OthPostSec	#00BF7D
#00B0F6	38	530	School	#00B0F6
#A3A500	40	480	NoQual	#A3A500
#00B0F6	52	850	School	#00B0F6
#A3A500	40	690	NoQual	#A3A500
#E76BF3	37	560	Vocational	#E76BF3
#E76BF3	9	480	Vocational	#E76BF3
#00B0F6	38	530	School	#00B0F6
#00B0F6	27	380	School	#00B0F6
#E76BF3	7	430	Vocational	#E76BF3
#00BF7D	25	580	OthPostSec	#00BF7D
#00B0F6	29	270	School	#00B0F6
#A3A500	40	630	NoQual	#A3A500
#00B0F6	40	640	School	#00B0F6
#E76BF3	5	190	Vocational	#E76BF3
#E76BF3	38	690	Vocational	#E76BF3
#00B0F6	27	460	School	#00B0F6
#E76BF3	14	330	Vocational	#E76BF3
#00B0F6	8	120	School	#00B0F6
#E76BF3	10	460	Vocational	#E76BF3
#E76BF3	19	200	Vocational	#E76BF3
#E76BF3	11	360	Vocational	#E76BF3
#F8766D	37	1100	BachDeg+	#F8766D
#E76BF3	30	200	Vocational	#E76BF3
#00BF7D	29	290	OthPostSec	#00BF7D
#E76BF3	30	300	Vocational	#E76BF3
#00B0F6	38	800	School	#00B0F6
#00B0F6	28	380	School	#00B0F6
#00B0F6	40	590	School	#00B0F6
#00B0F6	35	360	School	#00B0F6
#A3A500	18	270	NoQual	#A3A500
#A3A500	59	680	NoQual	#A3A500
#E76BF3	40	880	Vocational	#E76BF3
#00B0F6	27	300	School	#00B0F6
#00B0F6	40	790	School	#00B0F6
#E76BF3	24	600	Vocational	#E76BF3
#E76BF3	31	1080	Vocational	#E76BF3
#00B0F6	35	1090	School	#00B0F6
#00B0F6	23	470	School	#00B0F6
#E76BF3	10	400	Vocational	#E76BF3
#E76BF3	20	620	Vocational	#E76BF3
#A3A500	24	170	NoQual	#A3A500
#E76BF3	14	160	Vocational	#E76BF3
#00BF7D	30	400	OthPostSec	#00BF7D
#E76BF3	37	390	Vocational	#E76BF3
#A3A500	22	210	NoQual	#A3A500
#F8766D	12	460	BachDeg+	#F8766D
#A3A500	76	960	NoQual	#A3A500
#E76BF3	35	1040	Vocational	#E76BF3
#00B0F6	37	450	School	#00B0F6
#F8766D	24	500	BachDeg+	#F8766D
#00BF7D	29	400	OthPostSec	#00BF7D
#00B0F6	20	1130	School	#00B0F6
#00BF7D	68	740	OthPostSec	#00BF7D
#E76BF3	38	470	Vocational	#E76BF3
#00B0F6	38	460	School	#00B0F6
#00BF7D	38	570	OthPostSec	#00BF7D
#A3A500	53	900	NoQual	#A3A500
#00BF7D	10	350	OthPostSec	#00BF7D
#F8766D	44	1400	BachDeg+	#F8766D
#00B0F6	22	310	School	#00B0F6
#E76BF3	40	480	Vocational	#E76BF3
#E76BF3	50	550	Vocational	#E76BF3
#E76BF3	17	350	Vocational	#E76BF3
#F8766D	8	110	BachDeg+	#F8766D
#00B0F6	35	990	School	#00B0F6
#00B0F6	22	430	School	#00B0F6
#F8766D	40	1180	BachDeg+	#F8766D
#00B0F6	15	210	School	#00B0F6
#A3A500	38	840	NoQual	#A3A500
#E76BF3	20	850	Vocational	#E76BF3
#F8766D	38	750	BachDeg+	#F8766D
#00B0F6	23	210	School	#00B0F6
#F8766D	60	2040	BachDeg+	#F8766D
#00B0F6	21	390	School	#00B0F6
#00B0F6	38	660	School	#00B0F6
#00BF7D	47	460	OthPostSec	#00BF7D
#00B0F6	40	470	School	#00B0F6
#F8766D	26	840	BachDeg+	#F8766D
#F8766D	48	150	BachDeg+	#F8766D
#A3A500	22	340	NoQual	#A3A500
#00B0F6	48	400	School	#00B0F6
#A3A500	40	370	NoQual	#A3A500
#E76BF3	40	810	Vocational	#E76BF3
#E76BF3	40	560	Vocational	#E76BF3
#E76BF3	40	1640	Vocational	#E76BF3
#00B0F6	30	610	School	#00B0F6
#E76BF3	42	890	Vocational	#E76BF3
#A3A500	30	680	NoQual	#A3A500
#00B0F6	37	750	School	#00B0F6
#F8766D	24	330	BachDeg+	#F8766D
#E76BF3	40	930	Vocational	#E76BF3
#F8766D	27	1220	BachDeg+	#F8766D
#00B0F6	40	1020	School	#00B0F6
#E76BF3	14	320	Vocational	#E76BF3
#00B0F6	20	480	School	#00B0F6
#00B0F6	20	530	School	#00B0F6
#E76BF3	21	210	Vocational	#E76BF3
#F8766D	19	360	BachDeg+	#F8766D
#E76BF3	18	340	Vocational	#E76BF3
#A3A500	30	490	NoQual	#A3A500
#E76BF3	20	830	Vocational	#E76BF3
#A3A500	9	520	NoQual	#A3A500
#00BF7D	22	270	OthPostSec	#00BF7D
#00B0F6	20	220	School	#00B0F6
#E76BF3	30	560	Vocational	#E76BF3
#E76BF3	37	770	Vocational	#E76BF3
#E76BF3	40	910	Vocational	#E76BF3
#F8766D	24	580	BachDeg+	#F8766D
#00B0F6	38	710	School	#00B0F6
#F8766D	40	1710	BachDeg+	#F8766D
#E76BF3	40	460	Vocational	#E76BF3
#E76BF3	21	270	Vocational	#E76BF3
#E76BF3	43	1250	Vocational	#E76BF3
#A3A500	34	560	NoQual	#A3A500
#E76BF3	32	400	Vocational	#E76BF3
#A3A500	40	630	NoQual	#A3A500
#E76BF3	16	300	Vocational	#E76BF3
#F8766D	38	540	BachDeg+	#F8766D
#00B0F6	52	580	School	#00B0F6
#A3A500	20	260	NoQual	#A3A500
#E76BF3	40	610	Vocational	#E76BF3
#00BF7D	28	190	OthPostSec	#00BF7D
#00B0F6	42	640	School	#00B0F6
#E76BF3	20	800	Vocational	#E76BF3
#E76BF3	30	510	Vocational	#E76BF3
#A3A500	9	250	NoQual	#A3A500
#A3A500	22	580	NoQual	#A3A500
#E76BF3	20	230	Vocational	#E76BF3
#F8766D	24	330	BachDeg+	#F8766D
#A3A500	18	180	NoQual	#A3A500
#A3A500	32	360	NoQual	#A3A500
#00B0F6	44	920	School	#00B0F6
#E76BF3	51	1600	Vocational	#E76BF3
#00B0F6	37	670	School	#00B0F6
#A3A500	37	410	NoQual	#A3A500
#00B0F6	30	600	School	#00B0F6
#E76BF3	40	720	Vocational	#E76BF3
#A3A500	30	290	NoQual	#A3A500
#A3A500	24	260	NoQual	#A3A500
#E76BF3	30	400	Vocational	#E76BF3
#E76BF3	13	970	Vocational	#E76BF3
#E76BF3	37	580	Vocational	#E76BF3
#00B0F6	35	350	School	#00B0F6
#00BF7D	23	450	OthPostSec	#00BF7D
#E76BF3	34	600	Vocational	#E76BF3
#E76BF3	39	570	Vocational	#E76BF3
#00B0F6	42	670	School	#00B0F6
#E76BF3	53	620	Vocational	#E76BF3
#00B0F6	40	610	School	#00B0F6
#00BF7D	28	460	OthPostSec	#00BF7D
#E76BF3	39	1090	Vocational	#E76BF3
#F8766D	45	1080	BachDeg+	#F8766D
#A3A500	38	370	NoQual	#A3A500
#F8766D	30	320	BachDeg+	#F8766D
#00B0F6	50	1080	School	#00B0F6
#E76BF3	40	400	Vocational	#E76BF3
#00B0F6	40	540	School	#00B0F6
#F8766D	35	730	BachDeg+	#F8766D
#A3A500	17	480	NoQual	#A3A500
#A3A500	44	530	NoQual	#A3A500
#F8766D	4	500	BachDeg+	#F8766D
#E76BF3	40	450	Vocational	#E76BF3
#00B0F6	22	490	School	#00B0F6
#A3A500	16	140	NoQual	#A3A500
#E76BF3	46	890	Vocational	#E76BF3
#00B0F6	35	590	School	#00B0F6
#F8766D	26	700	BachDeg+	#F8766D
#00B0F6	40	800	School	#00B0F6
#F8766D	35	670	BachDeg+	#F8766D
#E76BF3	46	730	Vocational	#E76BF3
#F8766D	48	1320	BachDeg+	#F8766D
#A3A500	17	130	NoQual	#A3A500
#E76BF3	6	290	Vocational	#E76BF3
#F8766D	40	1170	BachDeg+	#F8766D
#F8766D	40	590	BachDeg+	#F8766D
#00BF7D	11	280	OthPostSec	#00BF7D
#F8766D	42	730	BachDeg+	#F8766D
#00B0F6	38	820	School	#00B0F6
#A3A500	33	610	NoQual	#A3A500
#00B0F6	19	270	School	#00B0F6
#00B0F6	70	1120	School	#00B0F6
#E76BF3	39	710	Vocational	#E76BF3
#00B0F6	35	900	School	#00B0F6
#E76BF3	15	400	Vocational	#E76BF3
#00B0F6	43	1400	School	#00B0F6
#00B0F6	44	540	School	#00B0F6
#A3A500	35	440	NoQual	#A3A500
#A3A500	32	390	NoQual	#A3A500
#00B0F6	38	310	School	#00B0F6
#E76BF3	38	460	Vocational	#E76BF3
#E76BF3	50	630	Vocational	#E76BF3
#F8766D	52	1450	BachDeg+	#F8766D
#00B0F6	38	400	School	#00B0F6
#E76BF3	32	640	Vocational	#E76BF3
#A3A500	25	480	NoQual	#A3A500
#A3A500	16	160	NoQual	#A3A500
#E76BF3	37	690	Vocational	#E76BF3
#E76BF3	35	700	Vocational	#E76BF3
#A3A500	40	540	NoQual	#A3A500
#A3A500	18	320	NoQual	#A3A500
#A3A500	15	680	NoQual	#A3A500
#00B0F6	24	410	School	#00B0F6
#A3A500	35	380	NoQual	#A3A500
#00B0F6	38	790	School	#00B0F6
#E76BF3	40	610	Vocational	#E76BF3
#E76BF3	115	780	Vocational	#E76BF3
#00B0F6	26	250	School	#00B0F6
#A3A500	28	250	NoQual	#A3A500
#A3A500	20	220	NoQual	#A3A500
#00B0F6	64	830	School	#00B0F6
#F8766D	49	1000	BachDeg+	#F8766D
#A3A500	29	240	NoQual	#A3A500
#00BF7D	20	320	OthPostSec	#00BF7D
#00BF7D	21	610	OthPostSec	#00BF7D
#E76BF3	16	410	Vocational	#E76BF3
#E76BF3	12	280	Vocational	#E76BF3
#00B0F6	40	620	School	#00B0F6
#00B0F6	26	490	School	#00B0F6
#00B0F6	36	930	School	#00B0F6
#E76BF3	56	870	Vocational	#E76BF3
#E76BF3	38	390	Vocational	#E76BF3
#00B0F6	36	390	School	#00B0F6
#E76BF3	25	610	Vocational	#E76BF3
#00BF7D	29	290	OthPostSec	#00BF7D
#A3A500	40	630	NoQual	#A3A500
#A3A500	40	410	NoQual	#A3A500
#00B0F6	13	380	School	#00B0F6
#00B0F6	10	70	School	#00B0F6
#00B0F6	25	560	School	#00B0F6
#E76BF3	37	340	Vocational	#E76BF3
#00B0F6	43	610	School	#00B0F6
#E76BF3	48	450	Vocational	#E76BF3
#00B0F6	27	390	School	#00B0F6
#E76BF3	24	290	Vocational	#E76BF3
#E76BF3	14	330	Vocational	#E76BF3
#F8766D	42	780	BachDeg+	#F8766D
#A3A500	30	210	NoQual	#A3A500
#F8766D	40	1370	BachDeg+	#F8766D
#A3A500	40	840	NoQual	#A3A500
#00B0F6	40	690	School	#00B0F6
#00B0F6	18	270	School	#00B0F6
#A3A500	5	330	NoQual	#A3A500
#F8766D	40	930	BachDeg+	#F8766D
#E76BF3	38	940	Vocational	#E76BF3
#F8766D	47	890	BachDeg+	#F8766D
#F8766D	16	190	BachDeg+	#F8766D
#00B0F6	61	580	School	#00B0F6
#00B0F6	17	500	School	#00B0F6
#A3A500	55	420	NoQual	#A3A500
#A3A500	25	190	NoQual	#A3A500
#E76BF3	18	410	Vocational	#E76BF3
#F8766D	48	510	BachDeg+	#F8766D
#00BF7D	3	190	OthPostSec	#00BF7D
#00B0F6	38	620	School	#00B0F6
#F8766D	63	3630	BachDeg+	#F8766D
#E76BF3	32	330	Vocational	#E76BF3
#00B0F6	38	410	School	#00B0F6
#A3A500	36	570	NoQual	#A3A500
#E76BF3	30	320	Vocational	#E76BF3
#E76BF3	40	970	Vocational	#E76BF3
#E76BF3	5	30	Vocational	#E76BF3
#00B0F6	16	210	School	#00B0F6
#A3A500	25	280	NoQual	#A3A500
#A3A500	25	320	NoQual	#A3A500
#A3A500	20	430	NoQual	#A3A500
#A3A500	37	510	NoQual	#A3A500
#F8766D	37	570	BachDeg+	#F8766D
#A3A500	8	190	NoQual	#A3A500
#A3A500	40	450	NoQual	#A3A500
#E76BF3	40	670	Vocational	#E76BF3
#E76BF3	18	200	Vocational	#E76BF3
#00BF7D	43	590	OthPostSec	#00BF7D
#E76BF3	25	860	Vocational	#E76BF3
#00B0F6	52	570	School	#00B0F6
#00B0F6	38	620	School	#00B0F6
#A3A500	40	370	NoQual	#A3A500
#00B0F6	21	1190	School	#00B0F6
#00BF7D	51	390	OthPostSec	#00BF7D
#F8766D	40	540	BachDeg+	#F8766D
#A3A500	46	450	NoQual	#A3A500
#F8766D	40	890	BachDeg+	#F8766D
#E76BF3	40	430	Vocational	#E76BF3
#E76BF3	33	410	Vocational	#E76BF3
#00B0F6	17	550	School	#00B0F6
#00BF7D	31	460	OthPostSec	#00BF7D
#F8766D	31	1320	BachDeg+	#F8766D
#00B0F6	38	450	School	#00B0F6
#00B0F6	29	360	School	#00B0F6
